max_iter;learning_rate;layers;solver;accuracy;precision;recall;f1_score
15;0.01;"""(50, 50, 50, 50)""";sgd;0.9739;0.973965746;0.9739;0.973887645
15;0.1;"""(50, 50)""";sgd;0.9733;0.973337654;0.9733;0.973285897
15;0.01;"""(50, 50)""";sgd;0.9727;0.972727141;0.9727;0.972691257
10;0.1;"""(50, 50)""";sgd;0.9717;0.971954589;0.9717;0.971696375
10;0.01;"""(50, 50, 50)""";adam;0.9716;0.971611504;0.9716;0.971563777
15;0.01;"""(50, 50, 50)""";sgd;0.9715;0.971546826;0.9715;0.97148898
15;0.01;"""(50, 50)""";adam;0.9714;0.971501973;0.9714;0.971394743
10;0.1;"""(50, 50, 50)""";sgd;0.971;0.97111904;0.971;0.970967917
15;0.1;"""(50, 50, 50)""";sgd;0.9705;0.970945271;0.9705;0.970539246
10;0.01;"""(50, 50, 50, 50)""";sgd;0.9699;0.970000633;0.9699;0.969892322
5;0.1;"""(50, 50)""";sgd;0.9695;0.969815459;0.9695;0.969510805
10;0.01;"""(50, 50, 50, 50)""";adam;0.9695;0.969778526;0.9695;0.969553537
15;0.01;"""(50, 50, 50)""";adam;0.9694;0.96975536;0.9694;0.969434146
15;0.01;"""(50, 50, 50, 50)""";adam;0.9688;0.969235715;0.9688;0.968851812
10;0.1;"""(50, 50, 50, 50)""";sgd;0.9683;0.968566593;0.9683;0.968309515
5;0.1;"""(50, 50, 50, 50)""";sgd;0.9671;0.967299452;0.9671;0.967102573
5;0.1;"""(50, 50, 50)""";sgd;0.967;0.967526015;0.967;0.967077916
5;0.01;"""(50, 50, 50)""";adam;0.967;0.967403641;0.967;0.966978016
5;0.01;"""(50, 50)""";adam;0.9658;0.966333914;0.9658;0.965878145
10;0.01;"""(50, 50)""";sgd;0.9657;0.965702217;0.9657;0.965675529
10;0.01;"""(50, 50)""";adam;0.9654;0.965618286;0.9654;0.965356722
10;0.01;"""(50, 50, 50)""";sgd;0.965;0.965282196;0.965;0.964960936
5;0.01;"""(50, 50, 50, 50)""";adam;0.9648;0.965125154;0.9648;0.964782307
15;0.1;"""(50, 50, 50, 50)""";sgd;0.9636;0.963838226;0.9636;0.963554878
5;0.01;"""(50, 50, 50, 50)""";sgd;0.9595;0.959511899;0.9595;0.959398632
5;0.01;"""(50, 50, 50)""";sgd;0.9571;0.95751152;0.9571;0.957102109
5;0.01;"""(50, 50)""";sgd;0.9528;0.952842373;0.9528;0.952765744
15;0.1;"""(50, 50)""";lbfgs;0.8743;0.875066965;0.8743;0.874051312
15;0.01;"""(50, 50)""";lbfgs;0.8593;0.858807868;0.8593;0.858797747
10;0.1;"""(50, 50)""";lbfgs;0.8061;0.806730853;0.8061;0.805756917
15;0.1;"""(50, 50, 50)""";lbfgs;0.7674;0.766500116;0.7674;0.76429433
15;0.01;"""(50, 50, 50)""";lbfgs;0.7648;0.764845593;0.7648;0.761717511
10;0.01;"""(50, 50)""";lbfgs;0.7354;0.740783627;0.7354;0.736085438
5;0.1;"""(50, 50)""";adam;0.7324;0.711361165;0.7324;0.70766412
15;0.1;"""(50, 50, 50, 50)""";lbfgs;0.7309;0.728286627;0.7309;0.728294464
15;0.01;"""(50, 50, 50, 50)""";lbfgs;0.7228;0.726232023;0.7228;0.712273388
10;0.1;"""(50, 50, 50)""";lbfgs;0.7145;0.730479045;0.7145;0.706592588
15;0.1;"""(50, 50)""";adam;0.7132;0.698550407;0.7132;0.686521535
5;0.01;"""(50, 50)""";lbfgs;0.7083;0.704797372;0.7083;0.703431638
10;0.1;"""(50, 50)""";adam;0.7042;0.659607443;0.7042;0.658772787
5;0.1;"""(50, 50)""";lbfgs;0.6888;0.706135676;0.6888;0.666147804
10;0.01;"""(50, 50, 50)""";lbfgs;0.6687;0.698530903;0.6687;0.667151336
5;0.1;"""(50, 50, 50)""";lbfgs;0.6015;0.61123163;0.6015;0.586088372
5;0.01;"""(50, 50, 50)""";lbfgs;0.5687;0.555819086;0.5687;0.518438316
10;0.01;"""(50, 50, 50, 50)""";lbfgs;0.5478;0.582258447;0.5478;0.517576805
10;0.1;"""(50, 50, 50, 50)""";lbfgs;0.502;0.5068404;0.502;0.432737445
5;0.1;"""(50, 50, 50, 50)""";lbfgs;0.4806;0.370727144;0.4806;0.400566609
15;0.1;"""(50, 50, 50, 50)""";adam;0.3898;0.285353648;0.3898;0.303979469
10;0.1;"""(50, 50, 50)""";adam;0.3847;0.236676729;0.3847;0.245283296
15;0.1;"""(50, 50, 50)""";adam;0.2954;0.092403108;0.2954;0.140656415
10;0.1;"""(50, 50, 50, 50)""";adam;0.2918;0.183495674;0.2918;0.204470479
5;0.01;"""(50, 50, 50, 50)""";lbfgs;0.2687;0.323791873;0.2687;0.15457517
5;0.1;"""(50, 50, 50)""";adam;0.2611;0.148824838;0.2611;0.176288766
5;0.1;"""(50, 50, 50, 50)""";adam;0.0974;0.00948676;0.0974;0.017289521
